run_id,Brute_Bounced,Brute_Survived,Feller_Bounced,Feller_Survived,Monk_Bounced,Monk_Survived,Number_of_Runs,computer_name,date_run,operating_system,processor,run_time_seconds,score,simulator_type
6,6095499,8754776,1813482,5950721,1592878,9326092,10000000,USSLO-DCJ1M53,1609189170.0,Windows 10 version 10.0.18362,"Intel64 Family 6 Model 142 Stepping 12, GenuineIntel",81.57292318,12.25896978,Triple Thread
7,6097079,8756931,1812956,5949302,1597212,9326808,10000000,USSLO-DCJ1M53,1609189282.0,Windows 10 version 10.0.18362,"Intel64 Family 6 Model 142 Stepping 12, GenuineIntel",80.94161582,12.3545841,Triple Thread
8,6093434,8755104,1812737,5952301,1595557,9325582,10000000,USSLO-DCJ1M53,1609189421.0,Windows 10 version 10.0.18362,"Intel64 Family 6 Model 142 Stepping 12, GenuineIntel",95.38614774,10.48370255,Triple Thread
9,6093501,8753761,1813041,5950557,1595358,9325557,10000000,USSLO-DCJ1M53,1609189908.0,Windows 10 version 10.0.18362,"Intel64 Family 6 Model 142 Stepping 12, GenuineIntel",124.5650537,8.027933761,Single Thread
10,6093992,8754769,1811959,5949782,1596385,9326213,10000000,USSLO-DCJ1M53,1609190317.0,Windows 10 version 10.0.18362,"Intel64 Family 6 Model 142 Stepping 12, GenuineIntel",138.44307659999998,7.22318533,Single Thread
11,6096405,8755530,1814096,5950954,1594627,9326343,10000000,USSLO-DCJ1M53,1609190481.0,Windows 10 version 10.0.18362,"Intel64 Family 6 Model 142 Stepping 12, GenuineIntel",121.0740705,8.259406793,Single Thread
12,6096957,8755464,1814647,5950085,1595820,9326894,10000000,USSLO-DCJ1M53,1609190602.0,Windows 10 version 10.0.18362,"Intel64 Family 6 Model 142 Stepping 12, GenuineIntel",120.7581055,8.281017624,Single Thread
13,6092699,8755131,1813840,5950454,1596206,9325957,10000000,USSLO-DCJ1M53,1609190723.0,Windows 10 version 10.0.18362,"Intel64 Family 6 Model 142 Stepping 12, GenuineIntel",135.8839765,7.359219432000001,Single Thread
14,6094031,8754420,1813147,5953214,1595511,9326463,10000000,USSLO-DCJ1M53,1609190859.0,Windows 10 version 10.0.18362,"Intel64 Family 6 Model 142 Stepping 12, GenuineIntel",124.6452758,8.022766955,Single Thread
15,6093631,8754332,1813108,5950752,1595841,9326182,10000000,USSLO-DCJ1M53,1609190983.0,Windows 10 version 10.0.18362,"Intel64 Family 6 Model 142 Stepping 12, GenuineIntel",130.37686399999998,7.670072509,Single Thread
